date,open,high,low,close,volume,amount
2021-02-05,330.1238,336.9606,293.0093,293.0093,119899748.0,37547101409.0
2021-02-08,294.7673,302.7762,276.4054,295.9394,28700114.0,8500619673.0
2021-02-09,301.7995,343.7975,300.8228,342.4302,38036864.0,12880523848.0
2021-02-10,358.2527,388.7256,356.4946,387.7489,25460855.0,9747054457.0
2021-02-11,379.9353,391.4604,369.1917,388.7256,9706512.0,3820016392.0
2021-02-16,394.1951,408.0642,389.7023,393.6091,18593677.0,7522672649.0
2021-02-17,392.6324,405.3295,378.9586,405.3295,12038231.0,4876114431.0
2021-02-18,405.5248,407.2829,378.9586,384.4281,12469470.0,4995254958.0
2021-02-19,377.0052,386.7722,353.9552,378.9586,18155131.0,6871741898.0
2021-02-22,387.7489,392.6324,368.9963,368.9963,22708535.0,8803570843.0
2021-02-23,356.2993,359.4247,341.8441,349.6577,17419667.0,6320326712.0
2021-02-24,351.6111,355.1272,317.4267,319.5754,16989699.0,5668920430.0
2021-02-25,332.2725,337.3513,322.3102,331.2958,8412718.0,2840668450.0
2021-02-26,310.1991,318.4034,297.8927,301.6042,22520220.0,7037672000.0
2021-03-01,313.3246,317.2314,295.158,306.4877,9949607.0,3104594756.0
2021-03-02,327.1937,332.0772,308.6364,311.5665,7681023.0,2504219222.0
2021-03-03,313.1292,315.6686,307.269,309.8085,3593400.0,1138372351.0
2021-03-04,302.1902,302.1902,283.2423,292.6186,11099200.0,3295233844.0
2021-03-05,286.3677,288.1258,275.4287,278.3588,8328260.0,2388649365.0
2021-03-08,281.8749,285.0003,257.6528,259.8015,13089444.0,3557870518.0
2021-03-09,255.5041,274.2567,244.1744,265.6617,10489951.0,2807953270.0
2021-03-10,292.2279,292.2279,268.0058,271.7173,7276653.0,2080474717.0
2021-03-11,278.3588,302.1902,276.9914,300.6275,10698016.0,3223962649.0
2021-03-12,313.9106,315.4733,291.2512,296.916,13186099.0,4088053797.0
2021-03-15,297.5021,302.7762,280.3122,282.8516,6105491.0,1793020915.0
2021-03-16,291.8372,300.8228,290.6652,295.744,3999594.0,1208967983.0
2021-03-17,294.9627,310.0038,293.986,305.1203,6087852.0,1897952995.0
2021-03-18,311.5665,319.3801,307.8551,310.3945,6054837.0,1946414743.0
2021-03-19,306.683,310.0038,294.9627,308.4411,9709007.0,3040230391.0
2021-03-22,303.7529,311.7619,301.9949,307.4644,2522977.0,792041171.0
2021-03-23,309.0271,310.3945,285.1957,294.1813,6801931.0,2047560975.0
2021-03-24,284.6097,285.1957,255.3087,258.8248,16342120.0,4403016082.0
2021-03-25,247.1045,264.4897,242.4163,259.8015,9701115.0,2518206451.0
2021-03-26,264.685,283.0469,264.685,273.866,5647878.0,1583332144.0
2021-03-29,266.8338,268.2011,252.9647,259.4109,7370452.0,1950507163.0
2021-03-30,261.7549,265.6617,257.2621,257.6528,3199054.0,852798985.0
2021-03-31,265.6617,274.2567,261.1689,263.7083,5227198.0,1427091097.0
2021-04-01,268.7872,279.3355,265.8571,278.3588,5798932.0,1624485833.0
2021-04-07,279.1402,281.0935,264.4897,268.3965,5195612.0,1437447392.0
2021-04-08,263.7083,269.9592,261.7549,266.0524,3380116.0,919588378.0
2021-04-09,267.4198,272.6939,266.0524,269.9592,3325368.0,917309147.0
2021-04-12,270.5452,271.5219,257.8481,261.3643,3640294.0,969843450.0
2021-04-13,261.5596,262.1456,250.0346,253.16,3602578.0,934957803.0
2021-04-14,254.9181,267.0291,251.988,254.1367,5673768.0,1501905656.0
2021-04-15,253.9414,255.3087,229.5239,234.4074,15966745.0,3869601397.0
2021-04-16,231.282,238.3142,231.282,236.3608,5198280.0,1251717489.0
2021-04-19,236.3608,242.221,230.8913,241.0489,5356299.0,1307155574.0
2021-04-20,237.3375,243.0023,235.3841,240.2676,3187195.0,782349503.0
2021-04-21,234.7981,235.1888,226.9845,231.4773,7760005.0,1830579997.0
2021-04-22,235.1888,240.8536,234.4074,239.8769,4918038.0,1196296515.0
2021-04-23,241.2443,251.7926,240.2676,250.8159,8040600.0,2050013460.0
2021-04-26,257.6528,270.9359,256.6761,268.0058,10670317.0,2897857505.0
2021-04-27,266.2477,271.5219,262.5363,266.8338,4475189.0,1224688798.0
2021-04-28,267.6151,269.9592,264.8804,267.0291,1748764.0,478117319.0
2021-04-29,267.4198,272.6939,264.8804,266.2477,1707758.0,468767351.0
2021-04-30,263.7083,264.685,252.7693,256.8714,3936380.0,1029587815.0
2021-05-03,256.8714,258.2388,247.1045,252.7693,2489482.0,638116737.0
2021-05-04,251.4019,253.9414,249.4485,253.5507,1172317.0,302920267.0
2021-05-05,250.0346,253.16,247.2998,251.0113,1847660.0,474362037.0
